rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	221.81	960.55	2678.39	3605.55	4595.01
?	0.03	4e-05	5	165.78	846.18	2878.28	3084.51	4435.43
?	0.04	4e-05	5	175.51	852.44	2347.89	3051.95	4424.93
?	0.05	4e-05	5	179.91	946.39	2802.43	2867.85	4278.81
?	0.05	4e-05	5	166.29	970.07	2800.43	3275.47	4297.03
?	0.06	4e-05	4	157.84	966.2	2698.55	3971.06	--undefined--
?	0.06	4e-05	4	155.24	881.66	2644.42	3932.31	--undefined--
?	0.07	4e-05	5	150.51	772.64	2621.68	3980.26	4449.65
?	0.08	4e-05	5	142.89	898.56	2806.79	2855.2	4425.36
?	0.08	4e-05	5	139.19	895.72	2727.63	3540.42	4310.53
?	0.09	4e-05	5	140.33	910.51	2547.95	3412.11	4370.69
?	0.1	4e-05	5	136.55	1080.32	2414	3524.38	4397.99
?	0.1	4e-05	5	144.24	1104.93	2626.3	3063.86	4413.66
?	0.11	2e-05	5	158.59	1088.93	2576.43	3323.99	4515.35
?	0.11	1e-05	5	180.52	1139.06	2477.41	3509.4	4497.61
?	0.12	1e-05	5	193.3	1054.98	2448.38	3693.36	4556.7
?	0.13	1e-05	4	174.79	1346.79	2624.99	3851.66	--undefined--
?	0.13	1e-05	4	159.57	1857.22	2971.8	4093.97	--undefined--
?	0.14	1e-05	5	149.41	1486.91	2526.55	3509.23	4368.79
?	0.15	1e-05	5	150.26	1920.91	2655.54	3254.18	4351.22
?	0.15	1e-05	5	149.57	2209.44	3201.58	4210.22	4334.8
?	0.16	3e-06	5	147.81	1762.46	2556.48	3488.1	4465.66
?	0.16	3e-06	5	145.26	1524.35	2667.06	3348.91	4520.98
?	0.17	0.005	5	140.1	1749.5	2619.36	3442.74	4478.08
?	0.18	0.005	5	144.91	1758.5	2611.08	3387.44	4474.41
?	0.18	0.01	5	149.76	1694.01	2980.52	3491.51	4636.21
?	0.19	0.01	5	281.84	1664.26	3002.39	3501.88	4616.84
?	0.2	0.03	5	390.42	1560.81	3009.45	3475.49	4575.87
?	0.2	0.08	5	442.48	1290.67	2749.35	3660.5	4490.76
?	0.21	0.16	5	486.88	1207.5	2643.46	3949.23	4467.16
?	0.21	0.18	5	551.55	1188.53	2643.85	3987.44	4614.66
?	0.22	0.2	5	596.3	1191.31	2661.82	4038.79	4644.01
?	0.23	0.2	5	615.7	1198.4	2669.74	4054.17	4686.16
?	0.23	0.2	5	621.77	1197.16	2644.33	4031.1	4706.75
?	0.24	0.2	5	623.58	1191.21	2626.56	3999.22	4705.14
?	0.25	0.2	5	632.44	1180.42	2623.62	3986.59	4702.35
?	0.25	0.2	5	646.3	1164.7	2624	3955.44	4692.43
?	0.26	0.2	5	669.07	1151.42	2606.37	3889.83	4702.81
?	0.26	0.2	5	671.91	1143.06	2618.05	3912.42	4716.69
?	0.27	0.16	5	672.26	1150.43	2596.08	3883.13	4724.31
?	0.28	0.17	5	702.93	1134.02	2561.23	3879.45	4696.77
?	0.28	0.2	5	752.54	1125.4	2574.19	3918.69	4670.22
?	0.29	0.21	5	768.9	1108.39	2589.06	3883.21	4671.71
?	0.3	0.21	5	737.6	1115.05	2531.66	3842.38	4647.47
?	0.3	0.21	5	776.84	1134.25	2506.04	3866.5	4656.91
?	0.31	0.21	5	774.17	1129.63	2477.46	3901.1	4684.07
?	0.31	0.21	5	793.2	1111.5	2389.34	3901.64	4650.54
?	0.32	0.21	5	773.55	1141.36	2388.97	3914.72	4668.55
?	0.33	0.21	5	754.08	1175.5	2357.07	3890.12	4662.06
?	0.33	0.21	5	713.94	1201.05	2327.62	3906.77	4618.52
?	0.34	0.18	5	705.14	1202.32	2332.27	3931.03	4577.45
?	0.35	0.18	5	714.67	1180.52	2292.87	3991.05	4557.87
?	0.35	0.15	5	686.46	1148.38	2242.44	3989.3	4533.94
?	0.36	0.15	5	654.04	1141.34	2244.89	3987.21	4492.85
?	0.36	0.07	5	602.29	1137.59	2160.57	3971.99	4466.26
?	0.37	0.07	5	616.93	1165.16	2228.2	4201.85	4350.3
?	0.38	0.02	5	592.36	1120.35	2298.75	4081.98	4378.06
?	0.38	0.02	5	577.49	1049.94	2229.63	3968.09	4362.65
?	0.39	0.005	5	528.07	1054.28	2249.58	4275.99	4389.24
?	0.4	0.002	5	431.93	1127.03	2294.22	4242.23	4614.05
?	0.4	0.002	5	394.99	1084.03	2256.45	4340.92	4371.8
?	0.41	0.002	5	326.37	1093.8	2084.26	3549.06	4551.22
?	0.41	0.0007	5	369.21	1093.18	2053.63	3707.65	4576.16
?	0.42	0.0003	5	485.12	989.75	2264.6	3566.1	4362.37
?	0.43	0.0002	5	458.31	971.72	2256.94	3397.38	4292.76
?	0.43	9e-05	5	401.13	1077.86	2441.92	3136.71	4413.41
?	0.44	8e-05	5	386.15	995.85	2695.03	3031.53	4656.42
?	0.45	4e-05	5	329.98	952.62	2626.4	3609.52	4701.3
?	0.45	0.0002	5	205.2	944.71	2626.12	3634.63	4553.13
?	0.46	0.0002	5	287.46	1033.86	2800.96	3772.49	4541.65
?	0.46	0.0002	4	1178.3	3119.4	4041.1	4760.81	--undefined--
?	0.47	0.0002	5	553.09	2055.55	2892.27	4163.01	4772.83
?	0.48	0.0002	4	1262.66	2904.31	4210	4780.92	--undefined--
?	0.48	0.004	4	1246.31	2707.34	3953.14	4739.83	--undefined--
?	0.49	0.004	5	495.06	1451.83	2419.26	3482.52	4614.68
?	0.5	0.01	4	1321.65	1534.2	3095.2	4460.54	--undefined--
?	0.5	0.01	4	1339.41	1534.36	3060.55	4452.56	--undefined--
?	0.51	0.01	4	1404.56	1524.07	3021.97	4443.03	--undefined--
?	0.51	0.01	4	1342.03	1537.3	2970.78	4442.71	--undefined--
?	0.52	0.01	5	807.01	1536.35	2103.46	2929.82	4467.62
?	0.53	0.01	5	881.1	1559.64	1634.63	2930.2	4478.19
?	0.53	0.01	4	1207.18	1586.69	3077.96	4480.32	--undefined--
?	0.54	0.01	4	1507.42	1569.86	3218.23	4542	--undefined--
?	0.55	0.004	5	352.65	1310.05	1557.49	3186.42	4567.98
?	0.55	0.003	5	950.44	1537.43	2848.98	2992.72	4542.69
?	0.56	0.003	5	860.71	1571.89	2830.59	3881.54	4482.76
?	0.56	0.003	5	941.38	1620.21	2957.22	3895.07	4430.13
?	0.57	0.003	4	961.95	1636.98	2938.67	4478.79	--undefined--
?	0.58	0.003	5	962.66	1649.64	2921.61	4301.82	4485.63
?	0.58	0.003	5	828.16	1661.75	2999.95	3970.98	4527.33
?	0.59	0.003	5	687.84	1637.27	2924.44	3612.09	4569.41
