rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	5	141.32	767.38	2732.52	3891.44	4962.28
?	0.03	1e-06	4	657.35	3263.85	3665.1	4636.69	--undefined--
?	0.04	1e-06	5	160.78	714.38	2845.83	4223.28	4863.91
?	0.05	2e-06	4	185.69	915.86	2835.15	4227.43	--undefined--
?	0.05	2e-06	4	176.19	898.23	2824.25	4316.24	--undefined--
?	0.06	2e-06	4	166.85	812.43	2819.84	4192.62	--undefined--
?	0.06	2e-06	4	163.17	724.61	2801.53	4112.78	--undefined--
?	0.07	2e-06	5	155.04	713.51	2690.17	4035.83	5176.85
?	0.08	2e-06	4	145.54	838.09	2883.49	4330.99	--undefined--
?	0.08	2e-06	4	139.64	840.79	2769.8	4105.39	--undefined--
?	0.09	2e-06	5	140.35	895.23	2711.47	3869.89	5218.76
?	0.1	1e-06	4	136.76	1270.45	2951.97	3852.83	--undefined--
?	0.1	1e-06	4	142.49	1996.15	3270.8	3969.45	--undefined--
?	0.11	7e-07	3	159.39	3019.86	3845.2	--undefined--	--undefined--
?	0.11	3e-07	4	182.95	2263.25	3284.78	4278.13	--undefined--
?	0.12	3e-07	4	191.33	2094.78	3244.07	4306.04	--undefined--
?	0.13	3e-07	4	173.83	1988.6	3385.35	4425.35	--undefined--
?	0.13	3e-07	4	159.18	2053.05	3276.77	4319.58	--undefined--
?	0.14	3e-07	4	148.35	2014.71	3000.95	4212.81	--undefined--
?	0.15	3e-07	4	150.03	2223.04	3380.12	4265.72	--undefined--
?	0.15	3e-07	4	147.68	2073.15	3458.32	4223.15	--undefined--
?	0.16	9e-08	4	144.97	2055.55	3271.5	4128.86	--undefined--
?	0.16	9e-08	4	143.5	2001.55	2981.41	3951.12	--undefined--
?	0.17	3e-05	5	136.78	2005.46	2715.14	3935.25	5096.11
?	0.18	0.0003	5	139.06	2016.1	3172.01	4156.09	5230.68
?	0.18	0.003	4	256.71	1697.83	3064.14	3986.07	--undefined--
?	0.19	0.01	4	388.62	1652.5	3047.53	3472.43	--undefined--
?	0.2	0.02	5	411.47	1578.86	2232.37	3052.65	4049.19
?	0.2	0.07	5	464.39	1507.76	2441.16	2710.83	4079.07
?	0.21	0.2	5	521.59	1476.38	2648.31	4133.6	4522.99
?	0.21	0.25	5	604.99	1442.91	2647.37	4028.17	4603.1
?	0.22	0.28	5	649.5	1374.42	2662.33	4049.13	4629.68
?	0.23	0.28	5	661.28	1334.54	2665.78	4055.47	4675.05
?	0.23	0.28	5	669.88	1307.32	2640.03	4031.34	4696.67
?	0.24	0.28	5	680.66	1280.25	2624.9	4004.06	4696.1
?	0.25	0.28	5	699.98	1268.19	2620.17	3999.43	4691.02
?	0.25	0.28	5	724.93	1260.37	2619.27	3987.52	4671.68
?	0.26	0.28	5	748.04	1256.18	2602.21	3926.99	4677.28
?	0.26	0.28	5	742.6	1250.94	2608.38	3931.56	4705.89
?	0.27	0.2	5	756.71	1206.4	2605.07	3881.82	4712.99
?	0.28	0.24	5	812.79	1185.7	2576.35	3869.41	4662.1
?	0.28	0.34	5	864.13	1195.32	2585.39	3903.88	4579.98
?	0.29	0.34	5	901.4	1194.93	2605.49	3861	4564.63
?	0.3	0.34	5	922.87	1191.84	2571.17	3808.67	4539.45
?	0.3	0.34	5	963.03	1211.33	2528.74	3823.92	4641.51
?	0.31	0.34	5	1009.18	1215.79	2496.56	3877.33	4666.14
?	0.31	0.34	5	990.22	1219.65	2386.99	3876.34	4635.79
?	0.32	0.34	5	956.08	1217.25	2366.18	3880.14	4657.87
?	0.33	0.34	5	938.37	1214.96	2324.15	3841.92	4652.76
?	0.33	0.32	5	843.42	1234.15	2281.31	3878.16	4605.7
?	0.34	0.26	5	820.36	1239.38	2275.36	3944.15	4567.94
