rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	4e-07	4	610.4	2736.89	4465.78	4531.71	--undefined--
?	0.03	7e-07	4	613.03	2515.58	3844.35	4940.52	--undefined--
?	0.04	7e-07	4	615.61	2505.13	3672.68	4947.62	--undefined--
?	0.04	1e-06	4	614.61	2836.57	3614.49	4687.72	--undefined--
?	0.05	1e-06	4	613.52	3234.86	4254.74	4657.09	--undefined--
?	0.06	1e-06	3	610.85	3022.23	3960.55	--undefined--	--undefined--
?	0.06	2e-06	5	199.97	731.25	2751.27	4023.08	5105.52
?	0.07	2e-06	4	204.42	833.32	2998.48	4598.97	--undefined--
?	0.08	2e-06	4	189.92	825.96	2918.31	4449.9	--undefined--
?	0.08	2e-06	4	181.94	871.59	2810.71	4046.59	--undefined--
?	0.09	2e-06	4	170.97	662.67	2527.04	4072.91	--undefined--
?	0.09	2e-06	4	163.2	637.64	2602.23	3933.67	--undefined--
?	0.1	2e-06	5	157.42	638.41	2754.87	3701.19	4882.11
?	0.11	2e-06	5	160.59	627.94	2768.47	3750.47	5012.96
?	0.11	2e-06	4	148.56	691.18	2899.74	4149.04	--undefined--
?	0.12	2e-06	5	138.51	666.26	2833.82	3935.88	4893.8
?	0.13	2e-06	5	132.03	645.95	2784.38	3796.39	5002.32
?	0.13	2e-06	5	131.4	635.02	2670.93	3758.47	4978.96
?	0.14	2e-06	5	73.08	630.04	2723.97	3781.93	4995.37
?	0.14	1e-06	4	607.38	2791.94	3744.39	5023.62	--undefined--
?	0.15	1e-06	4	601.55	2642.95	3789.26	5104.27	--undefined--
?	0.16	1e-06	3	597.84	2628.13	3960.3	--undefined--	--undefined--
?	0.16	6e-07	4	576.3	2615	3982.67	5245.43	--undefined--
?	0.17	6e-07	5	135.26	610.59	2747.84	3754.13	5035.65
?	0.18	6e-07	5	208.77	611.03	2939.14	3874.67	4937.17
?	0.18	6e-07	4	505.22	2548.32	3780.09	5173.86	--undefined--
?	0.19	6e-07	4	474.72	2545.97	3701.47	5300.7	--undefined--
?	0.19	6e-07	4	213.74	553.56	2705.14	4019.77	--undefined--
?	0.2	5e-07	3	441.76	2683.81	3950.61	--undefined--	--undefined--
?	0.21	5e-07	4	512.98	2549.28	4048.78	4845.21	--undefined--
?	0.21	5e-07	4	449.81	2665.29	4080.56	4693.97	--undefined--
?	0.22	3e-07	4	496.83	2176.29	3232.31	4474.46	--undefined--
?	0.23	1e-07	4	472.98	2886.78	2984.85	4290.63	--undefined--
?	0.23	1e-07	4	418.28	2922.01	2962.92	4126.85	--undefined--
?	0.24	1e-07	4	247.96	2228.86	3216.57	4342.07	--undefined--
?	0.24	6e-08	4	193.97	2367.36	3454.69	4332.06	--undefined--
?	0.25	6e-08	4	169.74	2628.82	3370.28	4405.49	--undefined--
?	0.26	6e-08	4	171.94	2419.43	3415.31	4261.27	--undefined--
?	0.26	2e-07	4	167.74	2476.44	3447.45	4189.27	--undefined--
?	0.27	0.002	4	172.48	2150.97	3311.32	4283.33	--undefined--
?	0.28	0.002	4	190.4	1757.89	3066.83	4288.8	--undefined--
?	0.28	0.009	5	314.53	1682.22	2950.62	3190.29	4608.01
?	0.29	0.009	5	412.52	1656.53	2898.06	3155.08	4594.1
?	0.29	0.01	5	435.45	1596.19	2700.15	3112.8	4532.09
?	0.3	0.03	5	483.79	1312.75	1943.53	3122.36	4476.01
?	0.31	0.05	5	475.61	1168.02	1769.65	3148.15	4150.43
?	0.31	0.12	5	521.54	1127.73	2671.84	4213.73	4381.27
?	0.32	0.23	5	590.74	1123.52	2659.43	3841.66	4603.94
?	0.33	0.23	5	614.33	1136.19	2656.88	3982.1	4656.86
?	0.33	0.3	5	635.32	1141.78	2661.19	4054.11	4663.38
?	0.34	0.32	5	646.67	1155.9	2668.97	4073.45	4686.24
?	0.34	0.32	5	651.94	1165.6	2663.9	4103.95	4688.47
?	0.35	0.32	5	658.2	1163.05	2649.25	4101.2	4675.39
?	0.36	0.32	5	661.92	1148.18	2621.23	4037.11	4704.46
?	0.36	0.32	5	664.78	1136.7	2613.5	4026.63	4706.87
?	0.37	0.32	5	670.48	1126.53	2610.22	4020.21	4704.68
?	0.38	0.32	5	686.43	1124.65	2598.58	3998.71	4648.33
?	0.38	0.32	5	714.55	1139.68	2582.1	4219.95	4321.44
?	0.39	0.29	5	719.28	1131.12	2592.36	3819.64	4610.82
?	0.39	0.2	5	716.19	1108.78	2591.71	3859.65	4630.59
?	0.4	0.2	5	699.68	1055.73	2608.31	4009.27	4629.26
?	0.41	0.19	5	674.78	1019.21	2612.38	3837.43	4789.27
?	0.41	0.15	5	714.63	1029.03	2571.91	3861.89	4336.38
?	0.42	0.15	5	770	1038.77	2559.83	3857.07	4002.5
?	0.43	0.16	5	804.21	1049.86	2578.44	3946.04	4043.93
?	0.43	0.36	5	822.68	1049.8	2587.19	3779.54	4273.08
?	0.44	0.38	5	825.31	1064.7	2658.65	3717.8	4278.08
?	0.44	0.38	5	889.63	1128.1	2562.65	3682.13	4108.15
?	0.45	0.38	5	951.6	1208.01	2516.99	3615.43	4591.36
?	0.46	0.38	5	989.8	1238.32	2537.72	3759.3	4676.48
?	0.46	0.38	5	1008.95	1275.19	2491.77	3854.96	4678
?	0.47	0.38	5	1036.11	1288.34	2182.12	3827.65	4623.16
?	0.48	0.38	5	1001.63	1223.19	2246.72	3860.83	4642
?	0.48	0.38	5	950.03	1212.79	2350.36	3855.49	4662.08
?	0.49	0.26	5	970.11	1206.22	2358.09	3746.73	4661.34
?	0.49	0.25	5	932.87	1229.38	2284.69	3766.65	4641.86
?	0.5	0.25	5	836.37	1241.58	2258.78	3858.97	4570.66
?	0.51	0.25	5	823.57	1237.47	2261.09	3960.98	4545.69
?	0.51	0.25	5	805.63	1258.55	2277.78	4024.86	4560.35
?	0.52	0.25	5	805.76	1248.7	2208.16	4072.92	4573.76
?	0.53	0.25	5	792.86	1208.99	2160.04	4108.74	4576.57
?	0.53	0.25	5	794.37	1246.02	2163.42	4187.88	4551.17
?	0.54	0.13	5	810.89	1260.54	2173.74	4227.21	4489.29
?	0.54	0.13	5	801.77	1200.2	2024.9	4274.46	4497.49
?	0.55	0.08	5	732.96	1184.35	1649.1	4374.39	4496.43
?	0.56	0.05	5	653.57	1187.79	1311.36	4292.78	4399.39
?	0.56	0.02	5	590.02	831.41	1226.62	4321.32	4395.92
?	0.57	0.008	5	502.15	796.96	1190.99	3753.74	4681.59
?	0.58	0.003	5	465.86	902.4	917.21	3617.28	4839.5
?	0.58	0.0008	5	473.6	838.23	908.74	3625.58	4964.37
?	0.59	0.0004	4	649.9	916.68	3655.65	4871.46	--undefined--
?	0.59	0.0004	4	319.39	980.33	3310.17	4647.27	--undefined--
?	0.6	0.0004	4	245.14	1137.74	3152.06	4329.72	--undefined--
?	0.61	0.0002	4	235.93	1019.26	3123.2	4090.81	--undefined--
?	0.61	4e-06	4	230.2	758.18	2958.2	3891.8	--undefined--
?	0.62	2e-06	5	233.28	642.88	2644.51	3719.39	4983.42
?	0.63	1e-06	5	239.75	725.52	2642.83	3735.59	4929.71
?	0.63	1e-06	5	243.98	719.98	2748.61	3647.38	4860.63
?	0.64	9e-07	5	224.96	722.02	2789.4	3616.16	4856.82
?	0.64	9e-07	5	247.32	735.49	2833.77	3677.4	4943.37
?	0.65	9e-07	5	262.91	855.87	2892.6	3665.56	5092.74
?	0.66	9e-07	5	284.17	622.26	2780.49	3640.58	4954.87
?	0.66	2e-07	5	275.04	545.87	2726.94	3761.54	4877.96
?	0.67	2e-07	4	581.99	2784.89	3687.66	4800.23	--undefined--
?	0.68	2e-07	4	585.67	2775.31	3516.51	4812.22	--undefined--
?	0.68	9e-06	4	556.53	2735.86	3784.15	5046.37	--undefined--
?	0.69	5e-05	4	537.23	2661.94	3634.54	4601.98	--undefined--
?	0.69	5e-05	4	570.27	2900.63	3788.59	4653.08	--undefined--
?	0.7	5e-05	4	591.34	3326.59	4267.53	4780.17	--undefined--
?	0.71	5e-05	5	595.94	2581.06	3776.15	4499.92	4875.04
?	0.71	5e-05	5	588.27	2521.9	3754.58	4501.72	4881.04
?	0.72	5e-05	4	588.27	2893.75	4444.85	4835.13	--undefined--
?	0.73	5e-05	4	609.32	2689.54	3679.34	4745.08	--undefined--
?	0.73	0.01	4	608.66	2452.14	3473.38	4731.9	--undefined--
?	0.74	0.01	5	518.04	1502.09	2285.77	3544.93	4546.85
?	0.74	0.01	5	1139.71	1450.15	1620.2	3244.34	4453.92
?	0.75	0.03	5	1144.28	1489.32	1617.38	3179.26	4450.24
?	0.76	0.03	5	1058.11	1496.36	1593.73	3123.96	4440.64
?	0.76	0.03	5	944.58	1508.61	1698.73	3044.09	4427.5
?	0.77	0.03	5	1038.65	1526.43	1865.79	3048.38	4494.56
?	0.78	0.03	5	886.53	1519.86	1869.41	3008.69	4482.68
?	0.78	0.03	5	815.52	1523.91	1869.36	2981.47	4494.41
?	0.79	0.03	5	840.13	1522.35	1750.44	2983.96	4502.91
?	0.79	0.03	5	1024.31	1522.07	1712.67	2951.46	4434.78
?	0.8	0.02	5	1004.45	1556.77	1665.63	3260.71	4527.6
?	0.81	0.01	5	1532.84	1538.55	1646.03	3609.28	4577.97
?	0.81	0.001	5	1491.81	1617.49	1655.63	3769.97	4603.15
?	0.82	0.0009	5	1205.37	1507.48	1724.78	3674.08	4611.12
?	0.83	0.0009	5	829.51	1261.16	1497.94	3253.61	4603.13
?	0.83	0.0009	5	1092.86	1186.25	1484.24	3359.87	4560.57
?	0.84	0.003	5	1123.35	1492.34	2048.73	3895.95	4517.16
?	0.84	0.003	5	1193.25	1715.9	2545.1	3334.06	4419.02
?	0.85	0.003	4	1171.87	1732.25	2965.55	4487.28	--undefined--
