rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.98	1256.64	2751.67	3690.76	4642.09
?	0.03	8e-06	5	235.14	981.72	2590.34	3740.54	4654.3
?	0.04	8e-06	5	242.16	970.69	2570.58	3596.39	4666.4
?	0.04	2e-05	5	195.58	858.32	3018.88	3661.25	4475.34
?	0.05	3e-05	4	169.55	859.75	2965.29	4403.33	--undefined--
?	0.06	3e-05	5	169.26	824.99	2419.19	3040.61	4459.94
?	0.06	3e-05	5	178.5	901.76	2819.04	3338.2	4353.29
?	0.07	4e-05	4	183.36	1132.16	2797.1	3988.25	--undefined--
?	0.08	4e-05	4	172.75	1076.82	2826.66	4019.48	--undefined--
?	0.08	5e-05	4	162.11	1032.29	2802.86	4067.91	--undefined--
?	0.09	5e-05	5	157.34	941.35	2787.34	2796.61	4328.54
?	0.09	5e-05	5	155.03	811.68	2666.02	3299.63	4276.03
?	0.1	5e-05	5	151.94	711.9	2633.74	3967.43	4044.46
?	0.11	5e-05	5	151.24	716.76	2681.63	3617	4126.68
?	0.11	5e-05	5	144.81	894.2	2832.75	2885.62	4426.96
?	0.12	5e-05	5	139.85	901.88	2846.04	3606.53	4400.34
?	0.13	5e-05	5	136.47	879.42	2824.89	3614.6	4374.43
?	0.13	5e-05	5	140.16	727.32	2444.56	3583.61	4410.38
?	0.14	5e-05	5	134.23	931.04	2452.88	3501.1	4370.34
?	0.14	3e-05	5	139.39	880.07	2474.53	3437.5	4374.91
?	0.15	2e-05	5	145.7	874.79	2303.26	3405.82	4453.19
?	0.16	1e-05	5	160.86	782.33	2445.06	3383.58	4446.5
?	0.16	1e-05	5	167.29	997.06	2554.16	3516.35	4509.34
?	0.17	1e-05	5	179.78	1040.87	2537.07	3549.05	4505.73
?	0.18	1e-05	5	204.91	1051.4	2456.43	3545.85	4524.56
?	0.18	1e-05	5	235.5	1070.26	2414.95	3630.85	4569.53
?	0.19	1e-05	5	222.75	1123.28	2506.75	3733.07	4596.03
?	0.19	1e-05	4	205.4	2208.72	2934.54	4045.7	--undefined--
?	0.2	1e-05	4	198.43	2030.25	3134.62	4218.38	--undefined--
?	0.21	1e-05	5	173.59	1553.02	2182.64	3361.41	4467.04
?	0.21	1e-05	5	190	415.8	2441.14	3384.34	4406.73
?	0.22	6e-06	4	185.67	2355.89	3198.93	4355.88	--undefined--
?	0.23	3e-06	4	187.6	2275.06	3147.06	4264.86	--undefined--
?	0.23	3e-06	4	181.72	2326.16	3481.12	4182.81	--undefined--
?	0.24	3e-06	5	183.13	1598.74	2555.09	3540.31	4540.19
?	0.24	1e-06	5	185.59	1700.77	2758.75	3193.73	4507.94
?	0.25	1e-06	5	167.08	1665.28	2571.54	3285.03	4552.48
?	0.26	2e-06	5	170.27	1648.61	2635.56	3466.72	4465.8
?	0.26	4e-06	5	167.76	1627.2	2503.55	3534.64	4448.07
?	0.27	0.001	5	179.7	2111.95	2239.12	3347.77	4427.24
?	0.28	0.002	5	206.6	1457.98	2992.28	3393.07	4535.88
?	0.28	0.006	5	209.08	1701.43	2972.05	3450.82	4619.63
?	0.29	0.006	5	326.54	1667.2	2989.84	3569.08	4598.24
?	0.29	0.02	5	374.22	1587.42	2945.12	3581.58	4549.09
?	0.3	0.02	5	415.78	1598.06	2734.17	3646.43	4457.43
?	0.31	0.02	5	449.43	1611.15	2705.01	3658.26	4282.64
?	0.31	0.05	5	493.53	1607.89	2666.94	3887.16	4476.2
?	0.32	0.15	5	550.84	1591.9	2669.32	3966.24	4607.6
?	0.33	0.15	5	566.3	1570.69	2664.26	4006.42	4621.45
?	0.33	0.15	5	594.09	1536.96	2678.14	4052.43	4581.15
?	0.34	0.16	5	617.5	1523.06	2700.7	4105.44	4632.01
?	0.34	0.16	5	617.95	1507.31	2679.02	4083.77	4688.32
?	0.35	0.16	5	620.97	1490.63	2648.66	4036.06	4706.38
?	0.36	0.16	5	623.89	1457.52	2628.21	4000.89	4703.52
?	0.36	0.16	5	628.94	1437.19	2618.37	3996.29	4698.62
?	0.37	0.16	5	632.39	1414.81	2621.21	3985	4695.72
?	0.38	0.16	5	642.19	1376.42	2617.93	3922.93	4656.76
?	0.38	0.16	5	665.38	1368.29	2579.49	3805.74	4663.85
?	0.39	0.16	5	669.09	1347.79	2588.52	3818.3	4672.66
?	0.39	0.16	5	667.63	1321.09	2618.78	3904.07	4705.31
?	0.4	0.13	5	664.87	1308.03	2597.38	3878.53	4706.41
?	0.41	0.16	5	671.95	1281.38	2588.19	3875.35	4711.13
?	0.41	0.16	5	696.74	1227.08	2551.45	3856.86	4663.8
?	0.42	0.16	5	725.72	1209.29	2541.59	3890.19	4602.92
?	0.43	0.16	5	760.1	1202.8	2582.44	3923.45	4613.17
?	0.43	0.22	5	776.61	1170.79	2603.72	3895.22	4651.88
?	0.44	0.23	5	760.88	1155.1	2606.05	3851.84	4649.56
?	0.44	0.23	5	743.61	1133.75	2517.12	3834.08	4639.97
?	0.45	0.23	5	790.14	1141.81	2504.43	3851.83	4625.52
?	0.46	0.23	5	795.64	1142.33	2510.66	3877.12	4661.89
?	0.46	0.23	5	781.29	1120.53	2456	3887.97	4652.4
?	0.47	0.23	5	795.72	1102.19	2348.57	3859.31	4588.31
